timestamp,nick,operacion,valores,textos
2023-05-23 22:15:47.534801,rocky,modifico imagen previamente clasificada,,
2023-05-23 22:16:00.524772,neko,Cambio Configuracion,,
2023-05-23 22:18:49.700290,abril,Cambio Configuracion,,
2023-05-23 22:45:03.961811,nekogeko,creacion de nuevo perfil,,
2023-05-23 22:59:08.564171,nekogeko,modificacion de perfil,,
2023-05-24 12:46:59.844158,neko,nuevo_meme,simpsons-rock.png,que sea rock \m/
2023-05-24 13:04:31.509400,rocky,nuevo_meme,homero_acdc.png,amo el rock & roll
2023-05-25 02:52:35.220870,neko,nuevo_collage,simpsons-rock.png,Bart_Guitarrista
2023-05-25 02:58:42.918671,abril,nuevo_collage,bart.png,Bart_Baterista
2023-05-25 03:01:35.480149,rocky,nuevo_collage,banda_calle.png,Banda_callejera
2023-05-25 07:16:36.470282,maxi,nuevo_collage,banda_calle.png,Banda_callejera
2023-05-25 07:32:15.045422,abril,nuevo_meme,simpsons-rock.png,rooock
2023-05-25 07:44:39.324755,maxi,modificacion de perfil,,
2023-05-25 15:15:18.316785,neko,nueva imagen clasificada,,
2023-05-25 15:15:41.496380,neko,modifico imagen previamente clasificada,,
2023-05-25 15:53:05.940527,abril,nueva imagen clasificada,,
2023-05-25 15:55:27.755990,abril,nueva imagen clasificada,,
2023-05-26 01:00:48.466553,rocky,nueva imagen clasificada,,
2023-05-26 01:02:46.256416,rocky,nueva imagen clasificada,,
2023-05-29 18:41:58.728334,rocky,Cambio Configuracion,,
2023-05-29 18:42:16.706637,rocky,Cambio Configuracion,,
2023-05-29 21:20:25.811172,abril,Cambio Configuracion,,
2023-05-29 21:52:14.058393,neko,Cambio Configuracion,,
2023-05-29 21:55:42.295649,neko,Cambio Configuracion,,
2023-05-29 22:01:06.590108,rocky,Cambio Configuracion,,
2023-05-29 22:21:25.069224,rocky,nueva imagen clasificada,,
2023-05-29 22:22:16.272038,rocky,nueva imagen clasificada,,
2023-05-29 22:23:40.239330,neko,nueva imagen clasificada,,
2023-05-29 22:24:34.591842,neko,nueva imagen clasificada,,
2023-05-29 22:25:39.452812,abril,nueva imagen clasificada,,
2023-05-30 01:04:03.622839,neko,Cambio Configuracion,,
2023-06-02 19:55:06.755489,abril,modificacion de perfil,,
2023-06-02 19:56:48.508742,nitro,creacion de nuevo perfil,,
2023-06-02 19:57:00.703727,nitro,modificacion de perfil,,
2023-06-04 11:42:19.450788,neko,modificacion de perfil,,
2023-06-04 11:42:29.328803,neko,Cambio Configuracion,,
2023-06-04 11:52:47.633023,maxi,creacion de nuevo perfil,,
2023-06-04 11:52:56.170043,maxi,Cambio Configuracion,,
2023-06-05 16:47:08.353335,maxi,nuevo_collage,banda_calle.png,Banda_callejera
2023-06-05 21:32:20.601443,neko,nueva imagen clasificada,,
2023-06-05 21:32:59.763957,neko,modifico imagen previamente clasificada,,
2023-06-05 22:13:55.670631,rocky,modifico imagen previamente clasificada,,
2023-06-05 22:14:20.138446,rocky,modifico imagen previamente clasificada,,
2023-06-07 16:00:43.940805,rocky,nueva imagen clasificada,,
2023-06-07 16:03:21.717004,rocky,nueva imagen clasificada,,
2023-06-07 16:04:16.039014,abril,modifico imagen previamente clasificada,,
2023-06-12 22:39:05.852314,sunflawer,creacion de nuevo perfil,,
2023-06-12 22:47:38.984568,miyagui,creacion de nuevo perfil,,
2023-06-12 22:48:17.107584,miyagui,modificacion de perfil,,
2023-06-12 22:48:29.207591,miyagui,modificacion de perfil,,
2023-06-12 22:48:38.442830,miyagui,modificacion de perfil,,
2023-06-12 22:59:58.392758,miyagui,modificacion de perfil,,
2023-06-12 23:15:16.408381,miyagui,modificacion de perfil,,
2023-06-12 23:15:31.264377,miyagui,modificacion de perfil,,
2023-06-15 16:41:38.543182,rocky,modificacion de perfil,,
2023-06-15 16:41:47.735475,rocky,modificacion de perfil,,
2023-06-15 16:41:51.899473,rocky,modificacion de perfil,,
2023-06-15 16:41:59.326471,rocky,modificacion de perfil,,
2023-06-17 14:17:09.300304,neko,nuevo_meme,meme2.png,"hola grupo08 , tenemos el primer meme"
2023-06-17 14:33:18.507930,neko,nuevo_meme,meme2.png,"hola grupo08 , tenemos el primer meme"
2023-06-18 13:12:53.747849,neko,Cambio Configuracion,,
2023-06-18 13:13:20.991701,neko,Cambio Configuracion,,
2023-06-19 00:15:40.468863,rocky,nuevo_meme,meme2.png,"maldi , tasea"
2023-06-19 00:22:02.478361,rocky,nuevo_meme,meme8.png,"esa no , esa si"
2023-06-19 00:22:32.443499,rocky,nuevo_meme,meme8.png,"esa no , esa si"
2023-06-19 09:57:25.858878,rocky,nuevo_collage,banda_calle.png;bart.png;homero_acdc.png;,El collage con popup
2023-06-19 11:39:06.947707,rocky,nuevo_collage,6cd7e8c2d45a0b5e.png;simpson_terror.png;bart.png;banda_calle.png;,NO_DATA_SELECCIONADA
2023-06-19 11:39:17.932308,rocky,nuevo_collage,6cd7e8c2d45a0b5e.png;simpson_terror.png;bart.png;banda_calle.png;,Collage pre entrega
2023-06-19 11:41:57.539672,rocky,nuevo_collage,6cd7e8c2d45a0b5e.png;banda_calle.png;bart.png;,Nueva collage
2023-06-19 13:43:59.748643,abril,nuevo_meme,meme2.png,"que onda , estas crazy?"
2023-06-19 14:43:54.991287,girazol,nuevo_meme,meme8.png,"dulce si? , dulce no?"
2023-06-19 14:44:37.247028,girazol,nuevo_meme,meme8.png,"dulce si? , dulce no?"
2023-06-19 14:48:20.527348,rocky,nuevo_meme,meme1.png,vamoo aprobar
2023-06-19 14:49:40.775977,rocky,nuevo_meme,meme2.png,"que onda , como dice eso?"
2023-06-19 14:52:33.640040,abril,nuevo_meme,meme2.png,"que onda , como dices eso"
2023-06-19 14:54:41.802286,abril,nuevo_meme,meme8.png,"le gusto , no le gusto"
2023-06-19 14:56:45.032567,girazol,nuevo_meme,meme8.png,"linux , window"
2023-06-19 15:00:32.228154,rocky,nuevo_meme,meme8.png,"linux , window"
2023-06-19 15:01:59.036811,neko,nuevo_meme,meme8.png,"linux , window"
2023-06-19 15:03:39.952582,neko,nuevo_meme,meme8.png,"linux , wiondow"
2023-06-19 15:05:02.294024,neko,nuevo_meme,meme8.png,"linux , windows"
2023-06-19 15:07:01.570972,neko,nuevo_meme,meme8.png,"linux , windows"
2023-06-19 15:11:47.596202,abril,nuevo_meme,meme3.png,"cual sera , listo ya vali , estuvo cerca"
2023-06-19 15:12:38.453846,abril,nuevo_meme,meme3.png,"cual sera , listo ya vali , estuvo cerca"
2023-06-19 15:15:04.946980,rocky,nuevo_meme,meme3.png,"arriba , abajo , estuvo cerca"
2023-06-19 16:01:27.709708,girazol,nuevo_meme,meme2.png,"que onda , ta loco"
2023-06-19 16:25:52.796847,rocky,Cambio Configuracion,,
2023-06-23 11:55:19.647980,rocky,nuevo_meme,meme2.png,"maldi , tasea"
2023-06-23 11:56:12.998254,rocky,nuevo_meme,meme1.png,dale que vaa
2023-06-24 18:45:21.835772,neko,nuevo_collage,simpson_terror.png;bart.png;banda_calle.png;simpsons-rock.png;,bart simpsons rockstart
2023-07-05 22:32:08.024828,rocky,nuevo_collage,6cd7e8c2d45a0b5e.png;bart.png;simpsons-rock.png;,el_coco_simpsons_02
2023-07-07 13:10:57.706164,neko,nuevo_meme,meme1.png,Vamoooo
